,Month 1,Month 2,Month 3,Month 4,Month 5
1FWBDN25,8,45,7,36,59
1RDDGKP02,20,89,12,93,102
1RDDHMP01,9,11,2,60,48
1RDDKAN01,7,68,11,92,93
1RDDLUC13,11,75,14,47,73
1RDDMUM74,13,20,14,18,0
1RDDMUM77,12,26,7,45,46
1RDDVAR12,14,70,29,93,50
1RDDVAR01,24,142,22,102,119
1RDNAJM02,6,44,14,72,69
1RDNAJM11,35,150,47,219,149
1RDNJAI17,17,9,10,56,50
1RDNKOL32,6,15,4,39,40
1RDNRAJ01,11,44,5,45,27
1RDNTZP01,6,21,0,4,16
1RDNUDP11,11,37,8,28,51
1RDNUDP06,15,74,13,41,85
1RDNUPD03,1,52,12,45,85
1RDNVRV01,9,38,9,60,43
1RDWALD20,18,76,25,179,181
1RDWBHL03,1,33,3,14,33
1RDWKOL67,9,37,5,11,32
1RDWKUS01,19,87,11,64,84
1RDWMDP01,7,43,11,55,52
1CRGJAH03,5,57,16,85,97
1CRGJAH47,12,55,17,76,81
1CRGJRJ03,5,95,14,75,71
1CRHUPKA06,13,59,8,129,53
1CRHUPLU07,13,25,7,34,60
1CRHUPVA11,5,44,3,30,56
1CRMHMU82,35,134,46,242,118
1CRMHTH06,8,46,10,64,34
1CRRJUD03,2,71,5,99,52
1CRUPLK08,5,39,6,62,79
1DBA09736,14,27,4,32,35
1FDAHM180,11,5,0,61,45
1FDALW20,4,62,8,69,118
1FDALW19,12,22,13,93,27
1FDBDN18,15,22,13,28,34
1FDBHT11,14,34,3,48,60
1FDBND19,14,25,6,41,16
1FDBOM177,21,75,31,118,96
1FDBOM320,9,44,3,22,133
1FDBOM367,12,79,18,154,31
1FDCHU18,20,5,0,0,0
1FDJAI122,13,73,31,62,69
1FDKAN151,20,51,13,41,57
1FDKAN159,42,201,32,121,80
1FDLUC109,8,57,7,78,99
1FDMEH29,6,47,10,45,37
1FDMEH28,25,84,25,120,109
1FDMRD19,4,59,16,72,124
1FDSDR03,14,57,4,18,85
1FDUDP24,8,31,11,45,36
1FNALD122,8,25,22,82,33
1FNALD97,9,12,2,11,10
1FNALW07,2,25,9,21,15
1FNALW14,6,19,10,54,39
1FNAMT14,14,33,17,42,25
1FNAMT23,16,46,9,15,13
1FNANA22,1,34,11,29,23
1FNANA62,16,25,1,19,21
1FNASS01,7,0,5,2,12
1FNBBM03,14,97,10,17,25
1FNBHL08,29,27,6,29,40
1FNBHI06,7,23,7,15,19
1FNBHL28,3,15,6,11,12
