,Month 1,Month 2,Month 3,Month 4,Month 5
1RDDJAI26,8,5,0,2,12
1FNJNP09,11,10,2,0,0
1FNKAN98,7,10,10,14,13
1FNMAU06,1,5,11,21,10
1RDNVAR21,16,7,2,4,2
1RDWBHJ02,4,0,0,0,0
1FNLUC74,9,1,2,6,3
1RDNJDP02,9,8,2,4,5
1FNKOL160,5,2,4,6,4
1FDBNK18,14,0,0,0,0
1FNKOL204,7,3,3,0,1
1CRUPKN501,8,7,24,13,4
1FNKOL221,5,4,0,0,4
1FNHOG07,2,8,2,4,2
1RDDKAN05,9,3,5,3,8
1FDCHU17,3,0,0,0,0
1CRUPVA04,6,3,8,11,8
1FDBOM387,3,6,11,13,5
1RDDVAR02,18,18,22,21,13
1CRGJAN04,8,4,0,12,8
1FDKHD25,24,7,7,7,9
1FDJDP44,6,5,9,16,13
1RDDPEN01,8,6,7,6,7
1FNDBG01,10,10,12,7,5
2CRMHMU85,13,13,11,16,13
1FDBDN22,3,9,7,5,4
1FNJUN05,10,5,8,6,6
1CRUPRB01,18,11,11,8,0
1CRGJAH35,3,2,6,5,2
1CRRJBL03,31,17,9,7,13
1CRRJGA03,6,3,12,8,4
1CRRJJP12,4,4,12,17,16
1FNJHU20,19,8,3,3,1
1FDTNK17,5,5,12,6,7
1FNCHU08,12,5,0,1,3
1RDDMUM91,5,12,13,15,8
1FDBOM142,1,5,2,0,0
1CRGJAH44,15,6,21,16,21
1RDNAJM02,12,13,24,14,7
1FDSRO06,10,4,6,3,5
1FDKOL180,3,4,3,1,1
1FDBOM324,28,12,14,6,1
1FNPLI05,5,1,7,4,1
1FNUDP48,26,6,5,6,8
1VW734501,17,7,13,17,16
1RDWJAI29,11,22,18,11,11
1FDBOM405,6,10,11,0,0
1FWMLD04,6,1,1,1,3
1CRMHMU71,9,2,3,5,4
1FNKOL197,1,1,2,0,0
1RDNAHM13,3,1,1,8,2
1FNDEO02,25,26,21,24,24
1RDNJMG01,4,2,0,3,2
1FNJAI99,14,5,10,22,11
1FNTNK13,8,6,0,0,0
1FNAMT08,27,3,5,7,21
1FDALD130,4,8,9,13,12
1FDPSS10,3,3,4,0,4
1FDJHU16,8,6,1,3,10
1FNSNP03,1,5,1,3,5
1FNALD31,7,5,1,6,2
1FNDAU07,12,5,1,1,7
1FNKOT13,5,0,0,6,2
1CRRJJP09,22,20,16,16,9
1FNALD73,4,1,1,0,2
1CRMHMU508,19,25,19,29,23
1FNSUL32,10,14,9,2,2
1FNBHR07,16,20,0,11,8
2CRGJPT03,14,20,16,12,10
1FNGGN07,5,6,8,17,17
1RDNKOL33,10,2,1,0,1
2CRWBKL12,12,19,10,17,14
1FDCTR02,5,2,2,4,6
1FDKAN159,11,18,7,7,9
1FNVAR66,8,1,3,5,2
1DBA08511,15,4,5,9,5
1FNKHD54,11,6,8,7,3
1CRUPLK501,11,18,17,13,12
1CRGJAH42,15,8,4,5,20
1FNBNW03,6,4,6,6,9
1FNKOT14,10,2,3,6,2
1RDNSIK01,16,17,8,2,4
1FNABN23,5,4,5,11,4
1FNAMT29,13,5,5,4,6
1FDFZB39,8,10,19,5,8
1FNKOT49,6,2,0,1,1
1FNHMP03,7,6,6,2,4
1FNHAN05,1,12,15,7,5
1FNBHL43,2,2,2,2,4
1FNTIN01,13,0,0,0,0
1FNGGN20,3,0,4,0,2
1RDNCAC01,21,7,5,7,5
1FDCAC04,12,0,0,6,8
1RDWFZB05,13,10,13,8,8
1RDDKOL02,3,7,17,12,5
1FDBOM177,15,15,24,15,10
1FNNOR04,20,4,9,6,0
1FNGAN02,3,4,3,6,3
1FNAHM83,20,21,9,6,2
1FNJAI47,6,6,7,0,11
1FDHOG09,16,19,8,8,0
1FWTNA05,4,3,4,1,9
1FNBHT22,6,6,8,12,18
1FNCHU03,16,19,21,12,3
1FNKOL137,9,1,2,0,0
1FNFZB13,19,12,16,21,3
1FDRGH36,7,4,7,13,17
1FNFZB22,8,12,1,1,5
1FNKHD18,5,3,3,5,2
